id,type,title,summary,date,proposer,status,total_votes_voor,total_votes_tegen,total_votes_onthouding,voting_date,enrichment_status,party_name,party_abbreviation,vote,num_members
tk-2024-1234,motie,Motie van lid X over klimaatbeleid,Een motie betreffende aanscherping van het klimaatbeleid,2024-03-15,Lid X (Partij Y),aangenomen,8,4,3,2024-03-20,completed,Volkspartij voor Vrijheid en Democratie,VVD,voor,34
tk-2024-1234,motie,Motie van lid X over klimaatbeleid,Een motie betreffende aanscherping van het klimaatbeleid,2024-03-15,Lid X (Partij Y),aangenomen,8,4,3,2024-03-20,completed,Partij voor de Vrijheid,PVV,tegen,17
tk-2024-1234,motie,Motie van lid X over klimaatbeleid,Een motie betreffende aanscherping van het klimaatbeleid,2024-03-15,Lid X (Partij Y),aangenomen,8,4,3,2024-03-20,completed,Christen-Democratisch Appèl,CDA,tegen,15
tk-2024-1234,motie,Motie van lid X over klimaatbeleid,Een motie betreffende aanscherping van het klimaatbeleid,2024-03-15,Lid X (Partij Y),aangenomen,8,4,3,2024-03-20,completed,Democraten 66,D66,voor,24
tk-2024-1234,motie,Motie van lid X over klimaatbeleid,Een motie betreffende aanscherping van het klimaatbeleid,2024-03-15,Lid X (Partij Y),aangenomen,8,4,3,2024-03-20,completed,GroenLinks,GL,voor,8
tk-2024-1234,motie,Motie van lid X over klimaatbeleid,Een motie betreffende aanscherping van het klimaatbeleid,2024-03-15,Lid X (Partij Y),aangenomen,8,4,3,2024-03-20,completed,Socialistische Partij,SP,voor,9
tk-2024-1234,motie,Motie van lid X over klimaatbeleid,Een motie betreffende aanscherping van het klimaatbeleid,2024-03-15,Lid X (Partij Y),aangenomen,8,4,3,2024-03-20,completed,Partij van de Arbeid,PvdA,onthouding,9
tk-2024-1234,motie,Motie van lid X over klimaatbeleid,Een motie betreffende aanscherping van het klimaatbeleid,2024-03-15,Lid X (Partij Y),aangenomen,8,4,3,2024-03-20,completed,ChristenUnie,CU,onthouding,5
tk-2024-1234,motie,Motie van lid X over klimaatbeleid,Een motie betreffende aanscherping van het klimaatbeleid,2024-03-15,Lid X (Partij Y),aangenomen,8,4,3,2024-03-20,completed,Partij voor de Dieren,PvdD,voor,6
tk-2024-1234,motie,Motie van lid X over klimaatbeleid,Een motie betreffende aanscherping van het klimaatbeleid,2024-03-15,Lid X (Partij Y),aangenomen,8,4,3,2024-03-20,completed,Staatkundig Gereformeerde Partij,SGP,voor,3
tk-2024-1234,motie,Motie van lid X over klimaatbeleid,Een motie betreffende aanscherping van het klimaatbeleid,2024-03-15,Lid X (Partij Y),aangenomen,8,4,3,2024-03-20,completed,DENK,DENK,onthouding,3
